race_id,municipality,office,seats,candidates_registered
ON-aylmer-mayor,"Aylmer, Town of",mayor,1,4
ON-baldwin-council-at-large,"Baldwin, Township of",councillor,3,0
ON-baldwin-mayor,"Baldwin, Township of",mayor,1,0
ON-bancroft-council-bancroft-ward,"Bancroft, Town of",councillor,3,3
ON-bancroft-council-dungannon-ward,"Bancroft, Town of",councillor,3,3
ON-bancroft-mayor,"Bancroft, Town of",mayor,1,4
ON-barrie-council-w01,"Barrie, City of",councillor,1,6
ON-barrie-council-w02,"Barrie, City of",councillor,1,4
ON-barrie-council-w03,"Barrie, City of",councillor,1,4
ON-barrie-council-w04,"Barrie, City of",councillor,1,5
ON-barrie-council-w05,"Barrie, City of",councillor,1,1
ON-barrie-council-w06,"Barrie, City of",councillor,1,1
ON-barrie-council-w07,"Barrie, City of",councillor,1,1
ON-barrie-council-w08,"Barrie, City of",councillor,1,2
ON-barrie-council-w09,"Barrie, City of",councillor,1,3
ON-barrie-council-w10,"Barrie, City of",councillor,1,1
ON-barrie-mayor,"Barrie, City of",mayor,1,2
ON-bayham-council-ward1,"Bayham, Municipality of",councillor,1,1
ON-bayham-council-ward2,"Bayham, Municipality of",councillor,1,0
ON-bayham-council-ward3,"Bayham, Municipality of",councillor,1,0
ON-bayham-deputy-mayor,"Bayham, Municipality of",deputy_mayor,1,1
ON-bayham-mayor,"Bayham, Municipality of",mayor,1,2
ON-beckwith-council-at-large,"Beckwith, Township of",councillor,3,3
ON-beckwith-deputymayor-at-large,"Beckwith, Township of",deputy_mayor,1,0
ON-beckwith-mayor,"Beckwith, Township of",mayor,1,1
ON-belleville-council-w01,"Belleville, City of",councillor,6,11
ON-belleville-council-w02,"Belleville, City of",councillor,2,3
ON-belleville-mayor,"Belleville, City of",mayor,1,2
ON-billings-council,"Billings, Township of",councillor,4,0
ON-billings-mayor,"Billings, Township of",mayor,1,0
ON-black-river-matheson-council-w01,"Black River-Matheson, Township of",councillor,1,1
ON-black-river-matheson-council-w02,"Black River-Matheson, Township of",councillor,1,1
ON-black-river-matheson-council-w03,"Black River-Matheson, Township of",councillor,1,1
ON-black-river-matheson-council-w04,"Black River-Matheson, Township of",councillor,1,1
ON-black-river-matheson-council-w05,"Black River-Matheson, Township of",councillor,1,0
ON-black-river-matheson-council-w06,"Black River-Matheson, Township of",councillor,1,1
ON-black-river-matheson-mayor,"Black River-Matheson, Township of",mayor,1,
ON-blandford-blenheim-council-at-large,"Blandford-Blenheim, Township of",councillor,3,2
ON-blandford-blenheim-deputy-mayor,"Blandford-Blenheim, Township of",deputy_mayor,1,1
ON-blandford-blenheim-mayor,"Blandford-Blenheim, Township of",mayor,1,1
ON-blind-river-council-at-large,"Blind River, Town of",councillor,,3
ON-blind-river-mayor,"Blind River, Town of",mayor,1,2
ON-bluewater-council-bayfield,"Bluewater, Municipality of",councillor,,1
ON-bluewater-council-hay-east,"Bluewater, Municipality of",councillor,,2
ON-bluewater-council-hay-west,"Bluewater, Municipality of",councillor,,1
ON-bluewater-council-stanley-east,"Bluewater, Municipality of",councillor,,1
ON-bluewater-council-stanley-west,"Bluewater, Municipality of",councillor,,1
ON-bluewater-council-zurich,"Bluewater, Municipality of",councillor,,2
ON-bluewater-deputy-mayor,"Bluewater, Municipality of",deputy_mayor,1,1
ON-bluewater-mayor,"Bluewater, Municipality of",mayor,1,2
ON-bonfield-councillor,"Bonfield, Township of",councillor,4,5
ON-bonfield-mayor,"Bonfield, Township of",mayor,1,3
ON-bonnechere-valley-council-at-large,"Bonnechere Valley, Township of",councillor,4,4
ON-bonnechere-valley-mayor,"Bonnechere Valley, Township of",mayor,1,1
ON-bracebridge-council-district,"Bracebridge, Town of",regional_councillor,3,4
ON-bracebridge-council-w01,"Bracebridge, Town of",councillor,1,1
ON-bracebridge-council-w02,"Bracebridge, Town of",councillor,1,1
ON-bracebridge-council-w03,"Bracebridge, Town of",councillor,1,2
ON-bracebridge-council-w04,"Bracebridge, Town of",councillor,1,1
ON-bracebridge-council-w05,"Bracebridge, Town of",councillor,1,1
ON-bracebridge-mayor,"Bracebridge, Town of",mayor,1,1
ON-bradford-west-gwillimbury-council-w01,"Bradford West Gwillimbury, Town of",councillor,1,7
ON-bradford-west-gwillimbury-council-w02,"Bradford West Gwillimbury, Town of",councillor,1,2
ON-bradford-west-gwillimbury-council-w03,"Bradford West Gwillimbury, Town of",councillor,1,1
ON-bradford-west-gwillimbury-council-w04,"Bradford West Gwillimbury, Town of",councillor,1,5
ON-bradford-west-gwillimbury-council-w05,"Bradford West Gwillimbury, Town of",councillor,1,3
ON-bradford-west-gwillimbury-council-w06,"Bradford West Gwillimbury, Town of",councillor,1,4
ON-bradford-west-gwillimbury-council-w07,"Bradford West Gwillimbury, Town of",councillor,1,2
ON-bradford-west-gwillimbury-deputy-mayor,"Bradford West Gwillimbury, Town of",deputy_mayor,1,2
ON-bradford-west-gwillimbury-mayor,"Bradford West Gwillimbury, Town of",mayor,1,5
ON-brampton-council-w01-w05,"Brampton, City of",councillor,1,6
ON-brampton-council-w02-w06,"Brampton, City of",councillor,1,5
ON-brampton-council-w03-w04,"Brampton, City of",councillor,1,3
ON-brampton-council-w07-w08,"Brampton, City of",councillor,1,5
ON-brampton-council-w09-w10,"Brampton, City of",councillor,1,5
ON-brampton-mayor,"Brampton, City of",mayor,1,8
ON-brampton-regional-councillor-w01-w05,"Brampton, City of",regional_councillor,1,3
ON-brampton-regional-councillor-w02-w06,"Brampton, City of",regional_councillor,1,6
ON-brampton-regional-councillor-w03-w04,"Brampton, City of",regional_councillor,1,2
ON-brampton-regional-councillor-w07-w08,"Brampton, City of",regional_councillor,1,5
ON-brampton-regional-councillor-w09-w10,"Brampton, City of",regional_councillor,1,5
ON-brant-council-w01,"Brant, County of",councillor,2,3
ON-brant-council-w02,"Brant, County of",councillor,2,3
ON-brant-council-w03,"Brant, County of",councillor,2,6
ON-brant-council-w04,"Brant, County of",councillor,2,6
ON-brant-council-w05,"Brant, County of",councillor,2,3
ON-brant-mayor,"Brant, County of",mayor,1,3
ON-brantford-council-w01,"Brantford, City of",councillor,2,4
ON-brantford-council-w02,"Brantford, City of",councillor,2,4
ON-brantford-council-w03,"Brantford, City of",councillor,2,6
ON-brantford-council-w04,"Brantford, City of",councillor,2,5
ON-brantford-council-w05,"Brantford, City of",councillor,2,5
ON-brantford-mayor,"Brantford, City of",mayor,1,6
ON-brethour-mayor,"Brethour, Township of",mayor,1,
ON-brighton-council-at-large,"Brighton, Municipality of",councillor,5,6
ON-brighton-deputy-mayor,"Brighton, Municipality of",deputy_mayor,1,1
ON-brighton-mayor,"Brighton, Municipality of",mayor,1,3
ON-brock-council-w01,"Brock, Township of",councillor,1,4
ON-brock-council-w02,"Brock, Township of",councillor,1,2
ON-brock-council-w03,"Brock, Township of",councillor,1,2
ON-brock-council-w04,"Brock, Township of",councillor,1,2
ON-brock-council-w05,"Brock, Township of",councillor,1,2
ON-brock-mayor,"Brock, Township of",mayor,1,2
ON-brock-regional-councillor,"Brock, Township of",regional_councillor,1,2
ON-brockton-council-at-large,"Brockton, Municipality of",councillor,,5
ON-brockton-deputy-mayor,"Brockton, Municipality of",deputy_mayor,1,1
ON-brockton-mayor,"Brockton, Municipality of",mayor,1,1
ON-brockville-council-at-large,"Brockville, City of",councillor,8,8
ON-brockville-mayor,"Brockville, City of",mayor,1,2
ON-brooke-alvinston-councillor,"Brooke-Alvinston, Municipality of",councillor,4,6
ON-brooke-alvinston-mayor,"Brooke-Alvinston, Municipality of",mayor,1,2
ON-brooke-alvinston-trustee-csdceo,"Brooke-Alvinston, Municipality of",trustee,1,0
ON-bruce-mines-councillor,"Bruce Mines, Town of",councillor,4,2
ON-bruce-mines-mayor,"Bruce Mines, Town of",mayor,1,1
ON-brudenell-lyndoch-and-raglan-council-w1,"Brudenell, Lyndoch and Raglan, Township of",councillor,1,2
ON-brudenell-lyndoch-and-raglan-council-w2,"Brudenell, Lyndoch and Raglan, Township of",councillor,1,3
ON-brudenell-lyndoch-and-raglan-mayor,"Brudenell, Lyndoch and Raglan, Township of",mayor,1,0
ON-burks-falls-council-at-large,"Burk’s Falls, Village of",councillor,4,2
ON-burks-falls-mayor,"Burk’s Falls, Village of",mayor,1,1
ON-burlington-council-w01,"Burlington, City of",regional_councillor,1,3
ON-burlington-council-w02,"Burlington, City of",regional_councillor,1,3
ON-burlington-council-w03,"Burlington, City of",regional_councillor,1,4
ON-burlington-council-w04,"Burlington, City of",regional_councillor,1,2
ON-burlington-council-w05,"Burlington, City of",regional_councillor,1,3
ON-burlington-council-w06,"Burlington, City of",regional_councillor,1,4
ON-burlington-mayor,"Burlington, City of",mayor,1,3
ON-burpee-and-mills-council-at-large,"Burpee and Mills, Township of",councillor,3,0
ON-burpee-and-mills-mayor,"Burpee and Mills, Township of",mayor,1,0
ON-caledon-council-w01,"Caledon, Town of",councillor,1,1
ON-caledon-council-w02,"Caledon, Town of",councillor,1,3
ON-caledon-council-w03,"Caledon, Town of",councillor,1,2
ON-caledon-council-w04,"Caledon, Town of",councillor,1,2
ON-caledon-council-w05,"Caledon, Town of",councillor,1,3
ON-caledon-council-w06,"Caledon, Town of",councillor,1,1
ON-caledon-mayor,"Caledon, Town of",mayor,1,5
ON-caledon-regional-councillor-w1w3,"Caledon, Town of",regional_councillor,1,3
ON-caledon-regional-councillor-w4w6,"Caledon, Town of",regional_councillor,1,1
ON-callander-council-at-large,"Callander, Municipality of",councillor,,3
ON-callander-mayor,"Callander, Municipality of",mayor,1,1
ON-calvin-councillor,"Calvin, Municipality of",councillor,4,1
ON-calvin-mayor,"Calvin, Municipality of",mayor,1,1
ON-cambridge-council-w01,"Cambridge, City of",councillor,1,2
ON-cambridge-council-w02,"Cambridge, City of",councillor,1,2
ON-cambridge-council-w03,"Cambridge, City of",councillor,1,1
ON-cambridge-council-w04,"Cambridge, City of",councillor,1,3
ON-cambridge-council-w05,"Cambridge, City of",councillor,1,2
ON-cambridge-council-w06,"Cambridge, City of",councillor,1,3
ON-cambridge-council-w07,"Cambridge, City of",councillor,1,5
ON-cambridge-council-w08,"Cambridge, City of",councillor,1,1
ON-cambridge-mayor,"Cambridge, City of",mayor,1,5
ON-carleton-place-council-at-large,"Carleton Place, Town of",councillor,5,5
ON-carleton-place-deputy-mayor,"Carleton Place, Town of",deputy_mayor,1,1
ON-carleton-place-mayor,"Carleton Place, Town of",mayor,1,1
ON-carling-council,"Carling, Township of",councillor,4,6
ON-carling-mayor,"Carling, Township of",mayor,1,2
ON-carlow-mayo-council-ward-one,"Carlow/Mayo, Township of",councillor,2,2
ON-carlow-mayo-council-ward-two,"Carlow/Mayo, Township of",councillor,2,2
ON-carlow-mayo-mayor,"Carlow/Mayo, Township of",mayor,1,1
ON-casey-council-atlarge,"Casey, Township of",councillor,4,3
ON-casey-mayor,"Casey, Township of",mayor,1,1
ON-casselman-council-at-large,"Casselman, Municipality of",councillor,4,5
ON-casselman-mayor,"Casselman, Municipality of",mayor,1,1
ON-cavan-monaghan-council-w01,"Cavan Monaghan, Township of",councillor,1,1
ON-cavan-monaghan-council-w02,"Cavan Monaghan, Township of",councillor,1,2
ON-cavan-monaghan-council-w03,"Cavan Monaghan, Township of",councillor,1,3
ON-cavan-monaghan-deputy-mayor,"Cavan Monaghan, Township of",deputy_mayor,1,1
ON-cavan-monaghan-mayor,"Cavan Monaghan, Township of",mayor,1,1
ON-central-elgin-council-ward1,"Central Elgin, Municipality of",councillor,1,1
ON-central-elgin-council-ward2,"Central Elgin, Municipality of",councillor,1,1
ON-central-elgin-council-ward3,"Central Elgin, Municipality of",councillor,1,0
ON-central-elgin-council-ward4,"Central Elgin, Municipality of",councillor,1,1
ON-central-elgin-council-ward5,"Central Elgin, Municipality of",councillor,1,1
ON-central-elgin-deputy-mayor,"Central Elgin, Municipality of",deputy_mayor,1,1
ON-central-elgin-mayor,"Central Elgin, Municipality of",mayor,1,1
ON-central-frontenac-council-ward1,"Central Frontenac, Township of",councillor,2,3
ON-central-frontenac-council-ward2,"Central Frontenac, Township of",councillor,2,3
ON-central-frontenac-council-ward3,"Central Frontenac, Township of",councillor,2,3
ON-central-frontenac-council-ward4,"Central Frontenac, Township of",councillor,2,3
ON-central-frontenac-mayor,"Central Frontenac, Township of",mayor,1,2
ON-central-huron-council-east-ward,"Central Huron, Municipality of",councillor,1,2
ON-central-huron-council-west-ward,"Central Huron, Municipality of",councillor,1,2
ON-central-huron-deputy-mayor,"Central Huron, Municipality of",deputy_mayor,1,1
ON-central-huron-mayor,"Central Huron, Municipality of",mayor,1,1
ON-central-manitoulin-councillor-ward1,"Central Manitoulin, Municipality of",councillor,2,1
ON-central-manitoulin-councillor-ward2,"Central Manitoulin, Municipality of",councillor,2,0
ON-central-manitoulin-councillor-ward3,"Central Manitoulin, Municipality of",councillor,2,1
ON-central-manitoulin-mayor,"Central Manitoulin, Municipality of",mayor,1,1
ON-centre-hastings-council-at-large,"Centre Hastings, Municipality of",councillor,3,4
ON-centre-hastings-deputy-mayor,"Centre Hastings, Municipality of",deputy_mayor,1,1
ON-centre-hastings-mayor,"Centre Hastings, Municipality of",mayor,1,1
ON-centre-wellington-council-w01,"Centre Wellington, Township of",councillor,1,5
ON-centre-wellington-council-w02,"Centre Wellington, Township of",councillor,1,2
ON-centre-wellington-council-w03,"Centre Wellington, Township of",councillor,1,3
ON-centre-wellington-council-w04,"Centre Wellington, Township of",councillor,1,3
ON-centre-wellington-council-w05,"Centre Wellington, Township of",councillor,1,2
ON-centre-wellington-council-w06,"Centre Wellington, Township of",councillor,1,2
ON-centre-wellington-mayor,"Centre Wellington, Township of",mayor,1,5
ON-centre-wellington-regional-councillor-w04,"Centre Wellington, Township of",regional_councillor,1,1
ON-centre-wellington-regional-councillor-w05,"Centre Wellington, Township of",regional_councillor,1,1
ON-centre-wellington-regional-councillor-w06,"Centre Wellington, Township of",regional_councillor,1,1
ON-centre-wellington-trustee-ugdsb,"Centre Wellington, Township of",trustee,1,1
ON-chamberlain-council-at-large,"Chamberlain, Township of",councillor,4,0
ON-chamberlain-mayor,"Chamberlain, Township of",mayor,1,
ON-champlain-council-ward1,"Champlain, Township of",councillor,2,2
ON-champlain-council-ward2,"Champlain, Township of",councillor,2,2
ON-champlain-council-ward3,"Champlain, Township of",councillor,2,2
ON-champlain-council-ward4,"Champlain, Township of",councillor,2,3
ON-champlain-mayor,"Champlain, Township of",mayor,1,2
ON-chapleau-councillor,"Chapleau, Township of",councillor,6,6
ON-chapleau-mayor,"Chapleau, Township of",mayor,1,3
ON-chapple-council,"Chapple, Township of",councillor,4,0
ON-chapple-mayor,"Chapple, Township of",mayor,1,0
ON-charlton-and-dack-council-at-large,"Charlton and Dack, Municipality of",councillor,3,0
ON-charlton-and-dack-mayor,"Charlton and Dack, Municipality of",mayor,1,0
ON-chatham-kent-council-w01,"Chatham-Kent, Municipality of",councillor,2,6
ON-chatham-kent-council-w02,"Chatham-Kent, Municipality of",councillor,2,10
ON-chatham-kent-council-w03,"Chatham-Kent, Municipality of",councillor,1,7
ON-chatham-kent-council-w04,"Chatham-Kent, Municipality of",councillor,1,3
ON-chatham-kent-council-w05,"Chatham-Kent, Municipality of",councillor,2,10
ON-chatham-kent-council-w06,"Chatham-Kent, Municipality of",councillor,2,7
ON-chatham-kent-council-w07,"Chatham-Kent, Municipality of",councillor,2,12
ON-chatham-kent-council-w08,"Chatham-Kent, Municipality of",councillor,2,12
ON-chatham-kent-mayor,"Chatham-Kent, Municipality of",mayor,1,6
ON-chatsworth-council-at-large,"Chatsworth, Township of",councillor,,2
ON-chatsworth-deputy-mayor,"Chatsworth, Township of",deputy_mayor,1,2
ON-chatsworth-mayor,"Chatsworth, Township of",mayor,1,2
ON-chisholm-council,"Chisholm, Township of",councillor,4,4
ON-chisholm-mayor,"Chisholm, Township of",mayor,1,1
ON-clarence-rockland-council-w01,"Clarence-Rockland, City of",councillor,1,2
ON-clarence-rockland-council-w02,"Clarence-Rockland, City of",councillor,1,1
ON-clarence-rockland-council-w03,"Clarence-Rockland, City of",councillor,1,3
ON-clarence-rockland-council-w04,"Clarence-Rockland, City of",councillor,1,1
ON-clarence-rockland-council-w05,"Clarence-Rockland, City of",councillor,1,2
ON-clarence-rockland-council-w06,"Clarence-Rockland, City of",councillor,1,1
ON-clarence-rockland-council-w07,"Clarence-Rockland, City of",councillor,1,1
ON-clarence-rockland-council-w08,"Clarence-Rockland, City of",councillor,1,1
ON-clarence-rockland-mayor,"Clarence-Rockland, City of",mayor,1,2
ON-clarington-council-w01,"Clarington, Municipality of",councillor,1,2
ON-clarington-council-w02,"Clarington, Municipality of",councillor,1,3
ON-clarington-council-w03,"Clarington, Municipality of",councillor,1,1
ON-clarington-council-w04,"Clarington, Municipality of",councillor,1,2
ON-clarington-mayor,"Clarington, Municipality of",mayor,1,2
ON-clarington-regional-councillor-w01-02,"Clarington, Municipality of",regional_councillor,1,2
ON-clarington-regional-councillor-w03-04,"Clarington, Municipality of",regional_councillor,1,2
ON-clarington-trustee-kprdsb,"Clarington, Municipality of",trustee,3,3
ON-clarington-trustee-pvnccdsb,"Clarington, Municipality of",trustee,2,2
ON-clearview-council-w01,"Clearview, Township of",councillor,1,1
ON-clearview-council-w02,"Clearview, Township of",councillor,1,1
ON-clearview-council-w03,"Clearview, Township of",councillor,1,1
ON-clearview-council-w04,"Clearview, Township of",councillor,1,1
ON-clearview-council-w05,"Clearview, Township of",councillor,1,3
ON-clearview-deputy-mayor,"Clearview, Township of",deputy_mayor,1,1
ON-clearview-mayor,"Clearview, Township of",mayor,1,2
ON-cobalt-council,"Cobalt, Town of",councillor,6,2
ON-cobalt-mayor,"Cobalt, Town of",mayor,1,1
ON-cobourg-council-at-large,"Cobourg, Town of",councillor,5,11
ON-cobourg-deputy-mayor,"Cobourg, Town of",deputy_mayor,1,1
ON-cobourg-mayor,"Cobourg, Town of",mayor,1,2
ON-cochrane-council-at-large,"Cochrane, Town of",councillor,6,7
ON-cochrane-mayor,"Cochrane, Town of",mayor,1,1
ON-cockburn-island-council-at-large,"Cockburn Island, Township of",councillor,4,0
ON-cockburn-island-mayor,"Cockburn Island, Township of",mayor,1,0
ON-coleman-council,"Coleman, Township of",councillor,,3
ON-coleman-mayor,"Coleman, Township of",mayor,1,1
ON-collingwood-council-at-large,"Collingwood, Town of",councillor,7,9
ON-collingwood-deputy-mayor,"Collingwood, Town of",deputy_mayor,1,2
ON-collingwood-mayor,"Collingwood, Town of",mayor,1,3
ON-conmee-council,"Conmee, Township of",councillor,4,0
ON-conmee-mayor,"Conmee, Township of",mayor,1,0
ON-cornwall-council-at-large,"Cornwall, City of",councillor,8,14
ON-cornwall-mayor,"Cornwall, City of",mayor,1,2
ON-cramahe-council-at-large,"Cramahe, Township of",councillor,3,2
ON-cramahe-deputy-mayor,"Cramahe, Township of",deputy_mayor,1,0
ON-cramahe-mayor,"Cramahe, Township of",mayor,1,1
ON-cscmonavenir-trustee-toronto-est,"Toronto, City of",trustee,1,2
ON-cscmonavenir-trustee-toronto-ouest,"Toronto, City of",trustee,1,1
ON-csviamonde-trustee-toronto-centre,"Toronto, City of",trustee,1,1
ON-csviamonde-trustee-toronto-est,"Toronto, City of",trustee,1,1
ON-csviamonde-trustee-toronto-ouest,"Toronto, City of",trustee,1,1
ON-dawn-euphemia-council,"Dawn-Euphemia, Township of",councillor,4,5
ON-dawn-euphemia-mayor,"Dawn-Euphemia, Township of",mayor,1,1
ON-dawson-council-at-large,"Dawson, Township of",councillor,4,0
ON-dawson-mayor,"Dawson, Township of",mayor,1,0
ON-deep-river-council-at-large,"Deep River, Town of",councillor,5,3
ON-deep-river-mayor,"Deep River, Town of",mayor,1,2
ON-deseronto-council,"Deseronto, Town of",councillor,3,3
ON-deseronto-deputy-mayor,"Deseronto, Town of",deputy_mayor,1,0
ON-deseronto-mayor,"Deseronto, Town of",mayor,1,2
ON-dorion-council-at-large,"Dorion, Township of",councillor,4,0
ON-dorion-mayor,"Dorion, Township of",mayor,1,
ON-douro-dummer-council-at-large,"Douro-Dummer, Township of",councillor,1,2
ON-douro-dummer-council-douro,"Douro-Dummer, Township of",councillor,1,1
ON-douro-dummer-council-dummer,"Douro-Dummer, Township of",councillor,1,3
ON-douro-dummer-deputy-mayor,"Douro-Dummer, Township of",deputy_mayor,1,2
ON-douro-dummer-mayor,"Douro-Dummer, Township of",mayor,1,2
ON-drummond-north-elmsley-council-drummond,"Drummond/North Elmsley, Township of",councillor,2,3
ON-drummond-north-elmsley-council-north-elmsley,"Drummond/North Elmsley, Township of",councillor,2,3
ON-drummond-north-elmsley-mayor,"Drummond/North Elmsley, Township of",mayor,1,1
ON-dryden-council-at-large,"Dryden, City of",councillor,6,3
ON-dryden-mayor,"Dryden, City of",mayor,1,1
ON-dryden-trustee-french-public-unknown-board,"Dryden, City of",trustee,1,0
ON-dubreuilville-councillor,"Dubreuilville, Township of",councillor,4,2
ON-dubreuilville-mayor,"Dubreuilville, Township of",mayor,1,1
ON-dutton-dunwich-council-ward1,"Dutton/Dunwich, Municipality of",councillor,1,1
ON-dutton-dunwich-council-ward2,"Dutton/Dunwich, Municipality of",councillor,2,0
ON-dutton-dunwich-deputy-mayor,"Dutton/Dunwich, Municipality of",deputy_mayor,1,1
ON-dutton-dunwich-mayor,"Dutton/Dunwich, Municipality of",mayor,1,2
ON-dysart-et-al-council-w01,"Dysart et al, Municipality of",councillor,1,2
ON-dysart-et-al-council-w02,"Dysart et al, Municipality of",councillor,1,2
ON-dysart-et-al-council-w03,"Dysart et al, Municipality of",councillor,1,3
ON-dysart-et-al-council-w04,"Dysart et al, Municipality of",councillor,1,1
ON-dysart-et-al-council-w05,"Dysart et al, Municipality of",councillor,1,2
ON-dysart-et-al-deputy-mayor,"Dysart et al, Municipality of",deputy_mayor,1,1
ON-dysart-et-al-mayor,"Dysart et al, Municipality of",mayor,1,3
ON-ear-falls-council,"Ear Falls, Township of",councillor,4,0
ON-ear-falls-mayor,"Ear Falls, Township of",mayor,1,0
ON-east-ferris-council,"East Ferris, Municipality of",councillor,4,4
ON-east-ferris-mayor,"East Ferris, Municipality of",mayor,1,2
ON-east-ferris-trustee-csdcfn,"East Ferris, Municipality of",trustee,1,0
ON-east-ferris-trustee-nearnorth,"East Ferris, Municipality of",trustee,1,0
ON-east-garafraxa-councillor,"East Garafraxa, Township of",councillor,3,2
ON-east-garafraxa-deputy-mayor,"East Garafraxa, Township of",deputy_mayor,1,1
ON-east-garafraxa-mayor,"East Garafraxa, Township of",mayor,1,1
ON-east-garafraxa-trustee-ugdsb,"East Garafraxa, Township of",trustee,1,1
ON-east-gwillimbury-council-w01,"East Gwillimbury, Town of",councillor,2,4
ON-east-gwillimbury-council-w02,"East Gwillimbury, Town of",councillor,2,7
ON-east-gwillimbury-council-w03,"East Gwillimbury, Town of",councillor,2,3
ON-east-gwillimbury-mayor,"East Gwillimbury, Town of",mayor,1,2
ON-east-hawkesbury-council-at-large,"East Hawkesbury, Township of",councillor,,3
ON-east-hawkesbury-deputy-mayor,"East Hawkesbury, Township of",deputy_mayor,,2
ON-east-hawkesbury-mayor,"East Hawkesbury, Township of",mayor,1,2
ON-east-zorra-tavistock-council-w01,"East Zorra-Tavistock, Township of",councillor,2,1
ON-east-zorra-tavistock-council-w02,"East Zorra-Tavistock, Township of",councillor,1,2
ON-east-zorra-tavistock-council-w03,"East Zorra-Tavistock, Township of",councillor,2,2
ON-east-zorra-tavistock-deputy-mayor,"East Zorra-Tavistock, Township of",deputy_mayor,1,1
ON-east-zorra-tavistock-mayor,"East Zorra-Tavistock, Township of",mayor,1,1
ON-edwardsburgh-cardinal-council-w01,"Edwardsburgh/Cardinal, Township of",councillor,1,1
ON-edwardsburgh-cardinal-council-w02,"Edwardsburgh/Cardinal, Township of",councillor,1,1
ON-edwardsburgh-cardinal-council-w03,"Edwardsburgh/Cardinal, Township of",councillor,1,1
ON-edwardsburgh-cardinal-deputy-mayor,"Edwardsburgh/Cardinal, Township of",deputy_mayor,1,1
ON-edwardsburgh-cardinal-mayor,"Edwardsburgh/Cardinal, Township of",mayor,1,1
ON-elizabethtown-kitley-council,"Elizabethtown-Kitley, Township of",councillor,,7
ON-elizabethtown-kitley-mayor,"Elizabethtown-Kitley, Township of",mayor,1,1
ON-elliot-lake-council,"Elliot Lake, City of",councillor,6,7
ON-elliot-lake-mayor,"Elliot Lake, City of",mayor,1,1
ON-elliot-lake-trustee-english-public,"Elliot Lake, City of",trustee,1,1
ON-elliot-lake-trustee-english-separate,"Elliot Lake, City of",trustee,2,2
ON-elliot-lake-trustee-french-public,"Elliot Lake, City of",trustee,1,1
ON-elliot-lake-trustee-french-separate,"Elliot Lake, City of",trustee,1,0
ON-emo-council,"Emo, Township of",councillor,4,0
ON-emo-mayor,"Emo, Township of",mayor,1,0
ON-englehart-council,"Englehart, Town of",councillor,6,3
ON-englehart-mayor,"Englehart, Town of",mayor,1,2
ON-enniskillen-councillor,"Enniskillen, Township of",councillor,4,4
ON-enniskillen-mayor,"Enniskillen, Township of",mayor,1,1
ON-erin-council-at-large,"Erin, Town of",councillor,4,8
ON-erin-mayor,"Erin, Town of",mayor,1,2
ON-erin-regional-councillor,"Erin, Town of",regional_councillor,1,1
ON-espanola-council,"Espanola, Town of",councillor,6,4
ON-espanola-mayor,"Espanola, Town of",mayor,1,2
ON-essa-council-w01,"Essa, Township of",councillor,1,1
ON-essa-council-w02,"Essa, Township of",councillor,1,1
ON-essa-council-w03,"Essa, Township of",councillor,1,1
ON-essa-deputy-mayor,"Essa, Township of",deputy_mayor,1,1
ON-essa-mayor,"Essa, Township of",mayor,1,2
ON-essex-town-council-w01,"Essex, Town of",councillor,2,3
ON-essex-town-council-w02,"Essex, Town of",councillor,1,1
ON-essex-town-council-w03,"Essex, Town of",councillor,2,4
ON-essex-town-council-w04,"Essex, Town of",councillor,1,1
ON-essex-town-deputy-mayor,"Essex, Town of",deputy_mayor,1,1
ON-essex-town-mayor,"Essex, Town of",mayor,1,1
ON-evanturel-councillor,"Evanturel, Township of",councillor,4,0
ON-evanturel-mayor,"Evanturel, Township of",mayor,1,1
ON-faraday-council,"Faraday, Township of",councillor,4,2
ON-faraday-deputy-mayor,"Faraday, Township of",deputy_mayor,1,1
ON-faraday-mayor,"Faraday, Township of",mayor,1,1
ON-fauquier-strickland-council-at-large,"Fauquier-Strickland, Township of",councillor,4,1
ON-fauquier-strickland-mayor,"Fauquier-Strickland, Township of",mayor,1,
ON-fort-erie-council-w01,"Fort Erie, Town of",councillor,1,1
ON-fort-erie-council-w02,"Fort Erie, Town of",councillor,1,1
ON-fort-erie-council-w03,"Fort Erie, Town of",councillor,1,2
ON-fort-erie-council-w04,"Fort Erie, Town of",councillor,1,3
ON-fort-erie-council-w05,"Fort Erie, Town of",councillor,1,4
ON-fort-erie-council-w06,"Fort Erie, Town of",councillor,1,1
ON-fort-erie-mayor,"Fort Erie, Town of",mayor,1,3
ON-fort-frances-council,"Fort Frances, Town of",councillor,,6
ON-fort-frances-mayor,"Fort Frances, Town of",mayor,1,2
ON-fort-frances-trustee-csdcab,"Fort Frances, Town of",trustee,,
ON-fort-frances-trustee-cspgno,"Fort Frances, Town of",trustee,,
ON-fort-frances-trustee-nwcdsb,"Fort Frances, Town of",trustee,,
ON-fort-frances-trustee-rrdsb,"Fort Frances, Town of",trustee,,0
ON-french-river-council-w01,"French River, Municipality of",councillor,1,2
ON-french-river-council-w02,"French River, Municipality of",councillor,1,1
ON-french-river-council-w03,"French River, Municipality of",councillor,1,1
ON-french-river-council-w04,"French River, Municipality of",councillor,1,2
ON-french-river-council-w05,"French River, Municipality of",councillor,1,1
ON-french-river-council-w06,"French River, Municipality of",councillor,1,1
