candidate_id,name,race_id,municipality,office,site,platform_words
ON-brampton-mayor-somal-s,Sandeep Somal,ON-brampton-mayor,"Brampton, City of",mayor,https://www.sandeepsomalformayor.ca,1042
ON-brampton-mayor-patel-t,Tirth Vinodkumar Patel,ON-brampton-mayor,"Brampton, City of",mayor,https://tirthpatel.ca,1433
ON-brampton-regional-councillor-w01-w05-vicente-p,Paul Vicente,ON-brampton-regional-councillor-w01-w05,"Brampton, City of",regional_councillor,https://paulvicente.ca,1093
ON-brampton-regional-councillor-w02-w06-tandon-s,Sameer Tandon,ON-brampton-regional-councillor-w02-w06,"Brampton, City of",regional_councillor,https://www.sameerforbrampton.ca,0
ON-brampton-regional-councillor-w03-w04-medeiros-m,Martin Medeiros,ON-brampton-regional-councillor-w03-w04,"Brampton, City of",regional_councillor,https://www.brampton.ca/EN/City-Hall/Council-Office/martin-medeiros/pages/welcome.aspx,0
ON-brampton-regional-councillor-w07-w08-sharma-a,Aman Sharma,ON-brampton-regional-councillor-w07-w08,"Brampton, City of",regional_councillor,https://amansharma.net,0
ON-brampton-regional-councillor-w07-w08-vyas-v,Vedaant Vyas,ON-brampton-regional-councillor-w07-w08,"Brampton, City of",regional_councillor,https://cvedaant.ca,0
ON-brampton-regional-councillor-w09-w10-dhillon-g,Gurpreet Singh Dhillon,ON-brampton-regional-councillor-w09-w10,"Brampton, City of",regional_councillor,https://gurpreetsinghdhillon.com,0
ON-brampton-regional-councillor-w09-w10-sangha-s,Sukhman Sangha,ON-brampton-regional-councillor-w09-w10,"Brampton, City of",regional_councillor,https://sukhmansangha.com,0
ON-brant-council-w02-howes-s,Steve Howes,ON-brant-council-w02,"Brant, County of",councillor,http://www.votehowes.ca/about-steve,7896
ON-brant-council-w03-bell-j,John Bell,ON-brant-council-w03,"Brant, County of",councillor,https://johnbellward3.com,0
ON-brant-council-w04-craigie-c,Claudine Craigie,ON-brant-council-w04,"Brant, County of",councillor,https://www.claudinecraigie.com/,0
ON-brant-council-w04-tully-e,Elaine Tully,ON-brant-council-w04,"Brant, County of",councillor,https://electelaine.ca,0
ON-brant-council-w05-gatopoulos-m,Mike Gatopoulos,ON-brant-council-w05,"Brant, County of",councillor,https://mikegatopoulos.ca,0
ON-brantford-council-w01-michael-sullivan,Michael Sullivan,ON-brantford-council-w01,"Brantford, City of",councillor,https://sullivanmichaeljam.wixsite.com/ward1councillor/meet-michael,378
ON-brantford-council-w02-dave-malcolm,Dave Malcolm,ON-brantford-council-w02,"Brantford, City of",councillor,https://daveforward2.ca/council-priorities,541
ON-brantford-council-w03-jay-goldberg,Jay Goldberg,ON-brantford-council-w03,"Brantford, City of",councillor,https://www.jay4ward3.ca/,0
ON-brantford-council-w04-colleen-goupil,Colleen Goupil,ON-brantford-council-w04,"Brantford, City of",councillor,https://www.colleen-goupil-for-councillor.ca/my-vision,408
ON-brantford-council-w04-nicole-callander,Nicole Callander,ON-brantford-council-w04,"Brantford, City of",councillor,https://www.nicolecallander.ca,0
ON-brantford-council-w04-nicole-durnford,Nicole Durnford,ON-brantford-council-w04,"Brantford, City of",councillor,https://votenicole.ca,1621
ON-brantford-council-w05-karleigh-csordas,Karleigh Csordas,ON-brantford-council-w05,"Brantford, City of",councillor,https://karleighcsordas.ca/lets-talk-policy-fair-taxation,2253
ON-brock-council-w01-josephson-b,Beth Josephson,ON-brock-council-w01,"Brock, Township of",councillor,https://bethjosephson.ca,0
ON-BD-hcdsb-trustee-burlington-w03-w06-soler-r,Roman Soler,ON-BD-hcdsb-trustee-burlington-w03-w06,"Burlington, City of",trustee,https://voteroman.ca,0
ON-BD-hcdsb-trustee-burlington-w04-w05-obrien-t,Tim O'Brien,ON-BD-hcdsb-trustee-burlington-w04-w05,"Burlington, City of",trustee,https://timobrien.ca,0
ON-BD-hdsb-trustee-burlington-w01-w02-diakoloukas-b,Bika Diakoloukas,ON-BD-hdsb-trustee-burlington-w01-w02,"Burlington, City of",trustee,https://www.bikafortrustee.com,0
ON-BD-hdsb-trustee-burlington-w03-w06-zhang-x,Xin Yi Zhang,ON-BD-hdsb-trustee-burlington-w03-w06,"Burlington, City of",trustee,https://www.reelect-xyz.ca,0
ON-BD-hdsb-trustee-burlington-w05-collard-a,Amy Collard,ON-BD-hdsb-trustee-burlington-w05,"Burlington, City of",trustee,https://reelectamycollard.wixsite.com/re-elect-amy-collard,565
ON-burlington-council-w03-moore-k,Katy Moore,ON-burlington-council-w03,"Burlington, City of",regional_councillor,https://thirstformoore.ca,0
ON-burlington-council-w03-brecknock-t,Tony Brecknock,ON-burlington-council-w03,"Burlington, City of",regional_councillor,https://brecknock.com,0
ON-burlington-council-w06-bentivegna-a,Angelo Bentivegna,ON-burlington-council-w06,"Burlington, City of",regional_councillor,https://angelobentivegnaward6.ca,454
ON-burlington-council-w06-domenic-f,Frank Domenic,ON-burlington-council-w06,"Burlington, City of",regional_councillor,https://frankdomenic.ca/events,8975
ON-burlington-council-w06-adus-o,Osob Adus,ON-burlington-council-w06,"Burlington, City of",regional_councillor,https://www.osobward6.ca,442
ON-burlington-mayor-nisan-r,Rory Nisan,ON-burlington-mayor,"Burlington, City of",mayor,https://rorynisan.ca,1433
ON-BD-pdsb-trustee-caledon-sandhu-g,Gagan Sandhu,ON-BD-pdsb-trustee-caledon,"Caledon, Town of",trustee,https://gagansandhu.com,410
ON-BD-pdsb-trustee-caledon-kaur-r,Rosey Kaur,ON-BD-pdsb-trustee-caledon,"Caledon, Town of",trustee,https://www.roseykaur.com,0
ON-caledon-council-w02-kahlon-h,Hunar Kahlon,ON-caledon-council-w02,"Caledon, Town of",councillor,https://votehunar.ca,1996
ON-caledon-council-w03-cameron-s,Stan Cameron,ON-caledon-council-w03,"Caledon, Town of",councillor,https://stancameron.com,0
ON-caledon-council-w04-french-h,Heather French,ON-caledon-council-w04,"Caledon, Town of",councillor,https://www.french4caledon.com/,0
ON-caledon-council-w05-muir-j,John Muir,ON-caledon-council-w05,"Caledon, Town of",councillor,https://electjohnmuir.com,333
ON-caledon-mayor-bawa-b,Baljit Bawa,ON-caledon-mayor,"Caledon, Town of",mayor,http://www.bawa4mayor.ca,0
ON-caledon-mayor-early-c,Christina Early,ON-caledon-mayor,"Caledon, Town of",mayor,https://early4caledon.ca,0
ON-caledon-mayor-russo-m,Mario Russo,ON-caledon-mayor,"Caledon, Town of",mayor,https://mariorusso.ca,896
ON-caledon-regional-councillor-w1w3-sheen-d,Dave Sheen,ON-caledon-regional-councillor-w1w3,"Caledon, Town of",regional_councillor,https://dave4caledon.com,0
ON-cambridge-council-w04-ross-earnshaw,Ross Earnshaw,ON-cambridge-council-w04,"Cambridge, City of",councillor,https://www.rossearnshaw.ca/about,0
ON-cambridge-council-w05-nazim-shah,Nazim Shah,ON-cambridge-council-w05,"Cambridge, City of",councillor,https://nazimshah.ca,0
ON-cambridge-council-w06-adam-cooper,Adam Cooper,ON-cambridge-council-w06,"Cambridge, City of",councillor,https://www.adamcooper.ca,989
ON-cambridge-council-w07-david-guerin,David Guerin,ON-cambridge-council-w07,"Cambridge, City of",councillor,https://www.davidguerin.com/priorities.html,1460
ON-cambridge-mayor-kennedy-b,Brian KENNEDY,ON-cambridge-mayor,"Cambridge, City of",mayor,https://www.kennedyforcambridge.ca,3398
ON-carling-council-moffatt-d,Daryle Moffatt,ON-carling-council,"Carling, Township of",councillor,https://www.darylemoffatt.com,1471
ON-cavan-monaghan-mayor-graham-m,Matthew Graham,ON-cavan-monaghan-mayor,"Cavan Monaghan, Township of",mayor,https://www.grahamformayor.ca/,0
ON-centre-wellington-regional-councillor-w06-ballantyne-d,Diane Ballantyne,ON-centre-wellington-regional-councillor-w06,"Centre Wellington, Township of",regional_councillor,https://dianeballantyne.ca,0
ON-chatham-kent-council-w01-melissa-harrigan,Melissa Harrigan,ON-chatham-kent-council-w01,"Chatham-Kent, Municipality of",councillor,https://www.melissaharrigan.com,0
ON-chatham-kent-council-w02-hassan-tariq,Hassan Tariq,ON-chatham-kent-council-w02,"Chatham-Kent, Municipality of",councillor,https://hassantariq.ca,0
ON-chatham-kent-council-w02-matthew-giffin,Matthew Giffin,ON-chatham-kent-council-w02,"Chatham-Kent, Municipality of",councillor,https://votegiffin.ca/meet-matthew-giffin-your-councilman-candidate,0
ON-chatham-kent-council-w06-f-brian-machado,F. Brian Machado,ON-chatham-kent-council-w06,"Chatham-Kent, Municipality of",councillor,https://brianmachado.ca,0
ON-chatham-kent-council-w06-karen-montgomery,Karen Montgomery,ON-chatham-kent-council-w06,"Chatham-Kent, Municipality of",councillor,https://www.karenmontgomery.ca/,0
ON-chatham-kent-council-w08-deb-martin,Deb Martin,ON-chatham-kent-council-w08,"Chatham-Kent, Municipality of",councillor,https://debmartinward8.ca/about,395
ON-clarington-council-w01-elhajjeh-s,Sami Elhajjeh,ON-clarington-council-w01,"Clarington, Municipality of",councillor,https://votesamiward1.ca,0
ON-clarington-council-w02-sanchez-b,Bernard Sanchez,ON-clarington-council-w02,"Clarington, Municipality of",councillor,https://voteforbernardsanchez.com,0
ON-clarington-council-w02-kay-j,Jason Kay,ON-clarington-council-w02,"Clarington, Municipality of",councillor,https://jasonkay.ca,0
ON-clarington-mayor-dingwall-t,Tom Dingwall,ON-clarington-mayor,"Clarington, Municipality of",mayor,https://tomdingwall.ca,2412
ON-clarington-regional-councillor-w01-02-anderson-g,Granville Anderson,ON-clarington-regional-councillor-w01-02,"Clarington, Municipality of",regional_councillor,https://granvilleanderson.ca,0
ON-clarington-trustee-kprdsb-mcaleer-k,Kurtis McAleer,ON-clarington-trustee-kprdsb,"Clarington, Municipality of",trustee,http://www.KurtisMcAleer.ca,0
ON-clarington-trustee-pvnccdsb-mackenzie-k,Kevin MacKenzie,ON-clarington-trustee-pvnccdsb,"Clarington, Municipality of",trustee,https://about.me/kevinamackenzie,0
ON-douro-dummer-mayor-leahy-p,Peter Leahy,ON-douro-dummer-mayor,"Douro-Dummer, Township of",mayor,https://www.thepeterboroughexaminer.com/news/peterborough-region/jones-and-leahy-running-for-mayor-in-douro-dummer/article_456774bf-5757-5c7c-89e8-9625f52b24c3.html,808
