candidate_id,name,race_id,municipality,office,site,platform_words
ON-cambridge-council-w04-ross-earnshaw,Ross Earnshaw,ON-cambridge-council-w04,"Cambridge, City of",councillor,https://www.rossearnshaw.ca/about,0
ON-cambridge-mayor-kennedy-b,Brian KENNEDY,ON-cambridge-mayor,"Cambridge, City of",mayor,https://www.kennedyforcambridge.ca,3398
ON-carling-council-moffatt-d,Daryle Moffatt,ON-carling-council,"Carling, Township of",councillor,https://www.darylemoffatt.com,1471
ON-carling-mayor-kelly-b,Bruce Kelly,ON-carling-mayor,"Carling, Township of",mayor,https://www.brucekellyforcarling.com/,0
ON-cavan-monaghan-mayor-graham-m,Matthew Graham,ON-cavan-monaghan-mayor,"Cavan Monaghan, Township of",mayor,https://www.grahamformayor.ca/,0
ON-central-elgin-mayor-griffin-m,Morgaine Griffin,ON-central-elgin-mayor,"Central Elgin, Municipality of",mayor,https://morgainegriffin.ca,5267
ON-central-frontenac-council-ward4-cameron-b,Brent Cameron,ON-central-frontenac-council-ward4,"Central Frontenac, Township of",councillor,https://www.brentcameron.org,811
ON-centre-wellington-mayor-wilton-b,Bronwynne Wilton,ON-centre-wellington-mayor,"Centre Wellington, Township of",mayor,https://bronwynnewilton.ca,1812
ON-centre-wellington-regional-councillor-w06-ballantyne-d,Diane Ballantyne,ON-centre-wellington-regional-councillor-w06,"Centre Wellington, Township of",regional_councillor,https://dianeballantyne.ca,0
ON-chatham-kent-council-w01-melissa-harrigan,Melissa Harrigan,ON-chatham-kent-council-w01,"Chatham-Kent, Municipality of",councillor,https://www.melissaharrigan.com,0
ON-chatham-kent-council-w01-michael-bond,Michael Bond,ON-chatham-kent-council-w01,"Chatham-Kent, Municipality of",councillor,https://michaelbond.wordpress.com/2026/05/08/michael-bond-officially-launches-campaign-for-ward-1-council-seat-in-chatham-kent,6908
ON-chatham-kent-council-w02-hassan-tariq,Hassan Tariq,ON-chatham-kent-council-w02,"Chatham-Kent, Municipality of",councillor,https://hassantariq.ca,0
ON-chatham-kent-council-w02-matthew-giffin,Matthew Giffin,ON-chatham-kent-council-w02,"Chatham-Kent, Municipality of",councillor,https://votegiffin.ca/meet-matthew-giffin-your-councilman-candidate,0
ON-chatham-kent-council-w06-f-brian-machado,F. Brian Machado,ON-chatham-kent-council-w06,"Chatham-Kent, Municipality of",councillor,https://brianmachado.ca,0
ON-chatham-kent-council-w06-karen-montgomery,Karen Montgomery,ON-chatham-kent-council-w06,"Chatham-Kent, Municipality of",councillor,https://www.karenmontgomery.ca/,0
ON-chatham-kent-council-w06-sheila-moir-martin,Sheila Moir-Martin,ON-chatham-kent-council-w06,"Chatham-Kent, Municipality of",councillor,https://sheila-moir-martin.com/pages/about.php,304
ON-chatham-kent-council-w07-marjorie-crew,Marjorie Crew,ON-chatham-kent-council-w07,"Chatham-Kent, Municipality of",councillor,https://marjoriecrew.ca/platform,714
ON-chatham-kent-council-w08-deb-martin,Deb Martin,ON-chatham-kent-council-w08,"Chatham-Kent, Municipality of",councillor,https://debmartinward8.ca/about,395
ON-chatham-kent-mayor-canniff-d,Darrin Canniff,ON-chatham-kent-mayor,"Chatham-Kent, Municipality of",mayor,https://darrincanniff.com,0
ON-chatham-kent-mayor-anderson-l,Lauren Anderson,ON-chatham-kent-mayor,"Chatham-Kent, Municipality of",mayor,https://www.laurenandersonofficial.ca,0
ON-chatham-kent-mayor-bondy-m,Michael Bondy,ON-chatham-kent-mayor,"Chatham-Kent, Municipality of",mayor,https://www.bondy4mayor.com/,0
ON-clarington-council-w01-elhajjeh-s,Sami Elhajjeh,ON-clarington-council-w01,"Clarington, Municipality of",councillor,https://votesamiward1.ca,0
ON-clarington-council-w02-sanchez-b,Bernard Sanchez,ON-clarington-council-w02,"Clarington, Municipality of",councillor,https://voteforbernardsanchez.com,0
ON-clarington-council-w02-kay-j,Jason Kay,ON-clarington-council-w02,"Clarington, Municipality of",councillor,https://jasonkay.ca,0
ON-clarington-mayor-dingwall-t,Tom Dingwall,ON-clarington-mayor,"Clarington, Municipality of",mayor,https://tomdingwall.ca,2412
ON-clarington-regional-councillor-w01-02-anderson-g,Granville Anderson,ON-clarington-regional-councillor-w01-02,"Clarington, Municipality of",regional_councillor,https://granvilleanderson.ca,0
ON-clarington-regional-councillor-w03-04-nair-k,Kannan Nair,ON-clarington-regional-councillor-w03-04,"Clarington, Municipality of",regional_councillor,https://kannannair.ca,0
ON-clarington-trustee-pvnccdsb-mackenzie-k,Kevin MacKenzie,ON-clarington-trustee-pvnccdsb,"Clarington, Municipality of",trustee,https://about.me/kevinamackenzie,0
ON-clearview-mayor-measures-d,Doug Measures,ON-clearview-mayor,"Clearview, Township of",mayor,https://dougmeasures.com,1490
ON-douro-dummer-mayor-leahy-p,Peter Leahy,ON-douro-dummer-mayor,"Douro-Dummer, Township of",mayor,https://www.thepeterboroughexaminer.com/news/peterborough-region/jones-and-leahy-running-for-mayor-in-douro-dummer/article_456774bf-5757-5c7c-89e8-9625f52b24c3.html,808
ON-dutton-dunwich-mayor-henry-dryfhout,Henry Dryfhout,ON-dutton-dunwich-mayor,"Dutton/Dunwich, Municipality of",mayor,https://votehenry.ca,375
ON-east-ferris-council-demers-d,Dean Demers,ON-east-ferris-council,"East Ferris, Municipality of",councillor,https://deandemersforcouncil.com,0
ON-east-gwillimbury-council-w01-carruthers-l,Loralea Carruthers,ON-east-gwillimbury-council-w01,"East Gwillimbury, Town of",councillor,https://www.loralea.ca,0
ON-east-gwillimbury-council-w03-butterworth-c,Carolyn Butterworth,ON-east-gwillimbury-council-w03,"East Gwillimbury, Town of",councillor,https://www.carolynbutterworth.ca,1182
ON-east-gwillimbury-council-w03-glenn-c,Christine Glenn,ON-east-gwillimbury-council-w03,"East Gwillimbury, Town of",councillor,https://www.christineglenn.ca/,0
ON-east-gwillimbury-mayor-johns-b,Brian Johns,ON-east-gwillimbury-mayor,"East Gwillimbury, Town of",mayor,https://brianjohns.ca/news,0
ON-erin-council-at-large-aylard-c,Cathy Aylard,ON-erin-council-at-large,"Erin, Town of",councillor,https://www.cathyaylard.ca/,0
ON-erin-mayor-scott-d,Dusty Scott,ON-erin-mayor,"Erin, Town of",mayor,https://www.dustyscott.ca/,0
ON-essa-mayor-logreco-f,Francesco Lo Greco,ON-essa-mayor,"Essa, Township of",mayor,https://francescologrecoformayor.com,0
ON-essex-town-mayor-bondy-s,Sherry Bondy,ON-essex-town-mayor,"Essex, Town of",mayor,https://sherrybondy.com,4839
ON-fort-erie-council-w04-christensen-j,Joan Christensen,ON-fort-erie-council-w04,"Fort Erie, Town of",councillor,https://votejoanchristensen.ca,2060
ON-fort-erie-mayor-liu-j,Juan LIU,ON-fort-erie-mayor,"Fort Erie, Town of",mayor,https://wwwhll.com,24629
ON-georgian-bay-council-district-wards1-3-laurie-russell,Laurie Russell,ON-georgian-bay-council-district-wards1-3,"Georgian Bay, Township of",regional_councillor,https://laurierussell.ca/news,585
ON-georgian-bay-council-ward1-steven-predko,Steven Predko,ON-georgian-bay-council-ward1,"Georgian Bay, Township of",councillor,http://steve.predko.ca/,0
ON-georgian-bay-council-ward4-allan-hazelton,Allan Hazelton,ON-georgian-bay-council-ward4,"Georgian Bay, Township of",councillor,https://allanhazelton.ca/,0
ON-georgian-bluffs-mayor-carleton-s,Susan (Sue) Carleton,ON-georgian-bluffs-mayor,"Georgian Bluffs, Township of",mayor,https://www.suecarleton.ca,0
ON-georgina-council-w01-biggerstaff-c,Charlene Biggerstaff,ON-georgina-council-w01,"Georgina, Town of",councillor,https://charlenebiggerstaff.ca,0
ON-georgina-council-w05-wolfe-k,Karen Wolfe,ON-georgina-council-w05,"Georgina, Town of",councillor,https://www.karenwolfe4ward5.ca,3976
ON-goderich-deputy-mayor-carroll-r,Randy Carroll,ON-goderich-deputy-mayor,"Goderich, Town of",deputy_mayor,https://www.randycarroll.ca,0
ON-goderich-mayor-buchanan-s,Steve Buchanan,ON-goderich-mayor,"Goderich, Town of",mayor,https://goderichsteveb.ca,1816
ON-gravenhurst-council-w04-jorgensen-r,Randy Jorgensen,ON-gravenhurst-council-w04,"Gravenhurst, Town of",councillor,https://randyjorgensen.com,0
ON-gravenhurst-council-w05-kilbourne-t,Tina Kilbourne,ON-gravenhurst-council-w05,"Gravenhurst, Town of",councillor,https://christinakilbourne.com,0
ON-greater-sudbury-council-w02-benoit-e,Eric Benoit,ON-greater-sudbury-council-w02,"Greater Sudbury, City of",councillor,https://www.eric4ward2.ca,0
ON-greater-sudbury-council-w02-duffy-g,Glen Duffy,ON-greater-sudbury-council-w02,"Greater Sudbury, City of",councillor,http://glenduffy.ca/#platform,881
ON-greater-sudbury-council-w08-lalonde-g,George Lalonde,ON-greater-sudbury-council-w08,"Greater Sudbury, City of",councillor,https://georgelalonde.ca,0
ON-greater-sudbury-council-w10-stopciati-p,Paul Stopciati,ON-greater-sudbury-council-w10,"Greater Sudbury, City of",councillor,http://electpaulstopciati.ca,0
ON-greater-sudbury-council-w10-butt-t,Tay Butt,ON-greater-sudbury-council-w10,"Greater Sudbury, City of",councillor,https://www.taybutt.ca,2337
ON-grey-highlands-deputy-mayor-loughead-j,Joel Loughead,ON-grey-highlands-deputy-mayor,"Grey Highlands, Municipality of",deputy_mayor,https://www.joelloughead.com,198
ON-grimsby-council-w01-smeenk-m,Margot Smeenk,ON-grimsby-council-w01,"Grimsby, Town of",councillor,https://www.think.smeenk.ca,0
ON-grimsby-council-w02-purkiss-b,Ben Purkiss,ON-grimsby-council-w02,"Grimsby, Town of",councillor,https://www.benpurkiss.ca,399
ON-guelph-council-w03-marty-williams,Marty Williams,ON-guelph-council-w03,"Guelph, City of",councillor,https://www.martyfor3.ca,0
ON-guelph-council-w03-phil-allt,Phil Allt,ON-guelph-council-w03,"Guelph, City of",councillor,https://philallt.ca/issues/supporting-our-community-the-role-of-the-food-bank,9893
ON-guelph-council-w05-dakota-cherry,Dakota Cherry,ON-guelph-council-w05,"Guelph, City of",councillor,https://www.dakotacherry.ca,0
ON-guelph-council-w05-james-doran,James Doran,ON-guelph-council-w05,"Guelph, City of",councillor,https://jamesdoran.ca,0
ON-guelph-council-w05-michael-agueci,Michael Agueci,ON-guelph-council-w05,"Guelph, City of",councillor,https://michaelforguelph.ca,0
ON-haldimand-county-council-w02-mehlenbacher-b,Bruce F. Mehlenbacher,ON-haldimand-county-council-w02,Haldimand County,councillor,https://votebruceward2.ca,4106
ON-haldimand-county-council-w04-dalimonte-t,Tony Dalimonte,ON-haldimand-county-council-w04,Haldimand County,councillor,https://www.tonydalimonte.ca,0
ON-haldimand-county-mayor-griffin-a,Andy Griffin,ON-haldimand-county-mayor,Haldimand County,mayor,https://www.griffinformayor.ca,366
ON-haldimand-county-mayor-vandendool-j,Jake Vandendool,ON-haldimand-county-mayor,Haldimand County,mayor,https://vote-jake.ca,762
ON-haldimand-county-mayor-bentley-s,Shelley Ann Bentley,ON-haldimand-county-mayor,Haldimand County,mayor,https://shelleyannbentley.com,804
ON-halton-hills-council-w02-dragicevic-d,Daniel Dragicevic,ON-halton-hills-council-w02,"Halton Hills, Town of",councillor,https://www.danield.ca/commitments.php,2947
ON-halton-hills-council-w02-paige-k,Ken Paige,ON-halton-hills-council-w02,"Halton Hills, Town of",councillor,https://www.kenpaige.ca/,0
ON-halton-hills-council-w02-kindbom-m,Matt Kindbom,ON-halton-hills-council-w02,"Halton Hills, Town of",councillor,https://votekindbom.com,3666
ON-halton-hills-council-w03-bergsma-a,Anita Bergsma,ON-halton-hills-council-w03,"Halton Hills, Town of",councillor,https://anitabergsma.com,0
